RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Nov  5 15:10:43 2019
elapsed time: 3.4e-08s
Source: /app/node10/item-22001 | Message ID: 1 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.033420 |End 
Source: /app/node10/item-22002 | Message ID: 2 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.047260 |End 
Source: /app/node10/item-22003 | Message ID: 3 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.061100 |End 
Source: /app/node10/item-22004 | Message ID: 4 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.074940 |End 
Source: /app/node10/item-22005 | Message ID: 5 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.088780 |End 
Source: /app/node10/item-22006 | Message ID: 6 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.102620 |End 
Source: /app/node10/item-22007 | Message ID: 7 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.116460 |End 
Source: /app/node10/item-22008 | Message ID: 8 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.130300 |End 
Source: /app/node10/item-22009 | Message ID: 9 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.144140 |End 
Source: /app/node10/item-22010 | Message ID: 10 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.157980 |End 
Source: /app/node10/item-22011 | Message ID: 11 | Time sentFromSrcR: 11.019522 | Time receivedFromSrcR: 11.171820 |End 
Source: /app/node10/item-22012 | Message ID: 12 | Time sentFromSrcR: 11.569522 | Time receivedFromSrcR: 11.583420 |End 
Source: /app/node10/item-22013 | Message ID: 13 | Time sentFromSrcR: 12.119522 | Time receivedFromSrcR: 12.133420 |End 
Source: /app/node10/item-22014 | Message ID: 14 | Time sentFromSrcR: 13.219522 | Time receivedFromSrcR: 13.233420 |End 
Source: /app/node10/item-22015 | Message ID: 15 | Time sentFromSrcR: 14.319522 | Time receivedFromSrcR: 14.333420 |End 
Source: /app/node10/item-22016 | Message ID: 16 | Time sentFromSrcR: 15.419522 | Time receivedFromSrcR: 15.433420 |End 
Source: /app/node10/item-22017 | Message ID: 17 | Time sentFromSrcR: 16.519522 | Time receivedFromSrcR: 16.533420 |End 
Source: /app/node10/item-22018 | Message ID: 18 | Time sentFromSrcR: 17.619522 | Time receivedFromSrcR: 17.633420 |End 
Source: /app/node10/item-22019 | Message ID: 19 | Time sentFromSrcR: 18.169522 | Time receivedFromSrcR: 18.183420 |End 
Source: /app/node10/item-22020 | Message ID: 20 | Time sentFromSrcR: 19.269522 | Time receivedFromSrcR: 19.283420 |End 
Source: /app/node10/item-22021 | Message ID: 21 | Time sentFromSrcR: 20.369522 | Time receivedFromSrcR: 20.383420 |End 
Source: /app/node10/item-22022 | Message ID: 22 | Time sentFromSrcR: 21.469522 | Time receivedFromSrcR: 21.483420 |End 
Source: /app/node10/item-22023 | Message ID: 23 | Time sentFromSrcR: 22.569522 | Time receivedFromSrcR: 22.583420 |End 
Source: /app/node10/item-22024 | Message ID: 24 | Time sentFromSrcR: 23.119522 | Time receivedFromSrcR: 23.133420 |End 
Source: /app/node10/item-22025 | Message ID: 25 | Time sentFromSrcR: 24.219522 | Time receivedFromSrcR: 24.233420 |End 
Source: /app/node10/item-22026 | Message ID: 26 | Time sentFromSrcR: 25.319522 | Time receivedFromSrcR: 25.333420 |End 
Source: /app/node10/item-22027 | Message ID: 27 | Time sentFromSrcR: 26.419522 | Time receivedFromSrcR: 26.433420 |End 
Source: /app/node10/item-22028 | Message ID: 28 | Time sentFromSrcR: 27.519522 | Time receivedFromSrcR: 27.533420 |End 
Source: /app/node10/item-22029 | Message ID: 29 | Time sentFromSrcR: 28.619522 | Time receivedFromSrcR: 28.633420 |End 
Source: /app/node10/item-22030 | Message ID: 30 | Time sentFromSrcR: 29.169522 | Time receivedFromSrcR: 29.183420 |End 
Source: /app/node10/item-22031 | Message ID: 31 | Time sentFromSrcR: 30.269522 | Time receivedFromSrcR: 30.283420 |End 
Source: /app/node10/item-22032 | Message ID: 32 | Time sentFromSrcR: 31.369522 | Time receivedFromSrcR: 31.383420 |End 
Source: /app/node10/item-22033 | Message ID: 33 | Time sentFromSrcR: 32.469522 | Time receivedFromSrcR: 32.483420 |End 
Source: /app/node10/item-22034 | Message ID: 34 | Time sentFromSrcR: 33.569522 | Time receivedFromSrcR: 33.583420 |End 
Source: /app/node10/item-22035 | Message ID: 35 | Time sentFromSrcR: 34.134260 | Time receivedFromSrcR: 34.148201 |End 
Source: /app/node10/item-22036 | Message ID: 36 | Time sentFromSrcR: 35.234260 | Time receivedFromSrcR: 35.248201 |End 
